scientific_name,summary,primary_label,common_name,local_image_path,order,family,genus,conservation_status
Delichon urbicum,"The western house martin, sometimes called the common house martin, northern house martin or, particularly in Europe, just house martin, is a migratory passerine bird of the swallow family which breeds in Europe, north Africa and west-central Asia; and winters in sub-Saharan Africa and southwestern Asia. It feeds on insects which are caught in flight, and it migrates to climates where flying insects are plentiful. It has a blue head and upperparts, white rump and pure white underparts, and is found in both open country and near human habitation. It is similar in appearance to the two other martin species of the genus Delichon, which are both endemic to eastern and southern Asia. It has two accepted subspecies.",cohmar1,Common House-Martin,bird_images\cohmar1.jpg,Passeriformes,Hirundinidae,Delichon,Least Concern
Pycnonotus barbatus,"The common bulbul is a member of the bulbul family of passerine birds. It is widespread throughout most of Africa except for the very arid areas, and has recently begun breeding in southernmost Spain. Ten subspecies are recognised based on the geographical variation in plumage. Some of these were formerly considered as separate species: Dodson's bulbul, the Somali bulbul and the dark-capped bulbul.",combul2,Common Bulbul,bird_images\combul2.jpg,Passeriformes,Pycnonotidae,Pycnonotus,Least Concern
Hedydipna collaris,"The collared sunbird is a bird species of the family Nectariniidae. The sunbirds are a group of very small Old World passerine birds which feed largely on nectar, although they will also take insects, especially when feeding young. The collared sunbird is in fact mainly insectivorous.",colsun2,Collared Sunbird,bird_images\colsun2.jpg,Passeriformes,Nectariniidae,Hedydipna,Least Concern
Buteo buteo,"The common buzzard is a medium-to-large bird of prey which has a large range. It is a member of the genus Buteo in the family Accipitridae. The species lives in most of Europe and extends its breeding range across much of the Palearctic as far as northwestern China, far western Siberia and northwestern Mongolia. Over much of its range, it is a year-round resident. However, buzzards from the colder parts of the Northern Hemisphere as well as those that breed in the eastern part of their range typically migrate south for the northern winter, many journeying as far as South Africa.",combuz1,Common Buzzard,bird_images\combuz1.jpg,Accipitriformes,Accipitridae,Buteo,Least Concern
Actitis hypoleucos,"The common sandpiper is a small Palearctic wader. This bird and its American sister species, the spotted sandpiper, make up the genus Actitis. They are parapatric and replace each other geographically; stray birds of either species may settle down with breeders of the other and hybridize. Hybridization has also been reported between the common sandpiper and the green sandpiper, a member of the closely related genus Tringa.",comsan,Common Sandpiper,bird_images\comsan.jpg,Charadriiformes,Scolopacidae,Actitis,Least Concern
Stephanoaetus coronatus,"The crowned eagle, also known as the African crowned eagle or the crowned hawk-eagle, is a large bird of prey found in sub-Saharan Africa; in Southern Africa, it is restricted to more easterly areas. Its preferred habitats are principally riparian woodlands and various forests. The crowned eagle is the only extant member of the genus Stephanoaetus. A second species, the Malagasy crowned eagle, went extinct after early humans settled on Madagascar.",crheag1,Crowned Eagle,bird_images\crheag1.jpg,Accipitriformes,Accipitridae,Stephanoaetus,Near Threatened
Trachyphonus darnaudii,D'Arnaud's barbet is a species of bird in the family Lybiidae that is found in East African. Barbets and toucans are a group of birds with a worldwide tropical distribution. The barbets get their name from the bristles which fringe their heavy bills.,darbar1,D'Arnaud's Barbet,bird_images\darbar1.jpg,Piciformes,Lybiidae,Trachyphonus,Least Concern
Lophoceros alboterminatus,The crowned hornbill is an African hornbill.,crohor1,Crowned Hornbill,bird_images\crohor1.jpg,Bucerotiformes,Bucerotidae,Lophoceros,Least Concern
Chrysococcyx caprius,"The diederik cuckoo, formerly dideric cuckoo or didric cuckoo is a member of the cuckoo family of birds, Cuculidae, which also includes the roadrunners and the anis.",didcuc1,Dideric Cuckoo,bird_images\didcuc1.jpg,Cuculiformes,Cuculidae,Chrysococcyx,Least Concern
Arizelocichla nigriceps,"The black-headed mountain greenbul, also known as the mountain greenbul or eastern mountain greenbul, is a species of the bulbul family of passerine birds. It is native to the eastern Afromontane. Its diet consists of fruit and nectar.",easmog1,Eastern Mountain Greenbul,bird_images\easmog1.jpg,Passeriformes,Pycnonotidae,Arizelocichla,Least Concern
Motacilla flava,"The western yellow wagtail is a small passerine bird in the wagtail family Motacillidae, which also includes the pipits and longclaws. This species breeds in much of temperate Europe and Asia. Most populations are migratory, moving south to tropical Africa and southern Asia for the winter; the small population breeding in Egypt is however resident there.",eaywag1,Western Yellow Wagtail,bird_images\eaywag1.jpg,Passeriformes,Motacillidae,Motacilla,Least Concern
Alopochen aegyptiaca,"The Egyptian goose is an African member of the Anatidae family including ducks, geese, and swans. Because of their popularity chiefly as an ornamental bird, the species has also been introduced to Europe, the United States and elsewhere outside their natural range. Egyptian geese were regularly represented in ancient Egyptian art.",egygoo,Egyptian Goose,bird_images\egygoo.jpg,Anseriformes,Anatidae,Alopochen,Least Concern
Merops apiaster,"The European bee-eater is a bird species in the bee-eater family, Meropidae. It breeds in southern and central Europe, northern and southern Africa, and western Asia. Except for the resident southern African population, the species is strongly migratory, wintering in tropical Africa. This species occurs as a spring overshoot north of its usual range, with occasional breeding in northern Europe.",eubeat1,European Bee-eater,bird_images\eubeat1.jpg,Coraciiformes,Meropidae,Merops,Least Concern
Cinnyris mediocris,The eastern double-collared sunbird is a species of bird in the family Nectariniidae. It is found in upland areas of Kenya and northern Tanzania.,edcsun3,Eastern Double-collared Sunbird,bird_images\edcsun3.jpg,Passeriformes,Nectariniidae,Cinnyris,Least Concern
Corvus rhipidurus,The fan-tailed raven is a passerine bird of the crow family native to Eastern Africa and the Arabian Peninsula.,fatrav1,Fan-tailed Raven,bird_images\fatrav1.jpg,Passeriformes,Corvidae,Corvus,Least Concern
Agapornis fischeri,Fischer's lovebird is a small parrot species of the genus Agapornis. They were originally discovered in the late 19th century. They are named after the 19th century German explorer of East Africa Gustav Fischer.,fislov1,Fischer's Lovebird,bird_images\fislov1.jpg,Psittaciformes,Psittaculidae,Agapornis,Near Threatened
Dicrurus adsimilis,"The fork-tailed drongo, also called the common drongo or African drongo, is a small bird found from the Sahel to South Africa that lives in wooded habitats, particularly woodlands and savannas. It is part of the family Dicruridae and has four recognized subspecies, D. a adsimilis, D. a. apivorus, D. a. fugax and D. a. jubaensis. Like other drongos, the fork-tailed is mostly insectivorous; its diet mainly consists of butterflies, termites, and grasshoppers.",fotdro5,Fork-tailed Drongo,bird_images\fotdro5.jpg,Passeriformes,Dicruridae,Dicrurus,Least Concern
Micronisus gabar,The gabar goshawk is a small species of African and Arabian bird of prey in the family Accipitridae.,gabgos2,Gabar Goshawk,bird_images\gabgos2.jpg,Accipitriformes,Accipitrinae,Micronisus,Least Concern
Spatula querquedula,"The garganey is a small dabbling duck. It breeds in much of Europe and across the Palearctic, but is strictly migratory, with the entire population moving to Africa, India, Bangladesh and Australasia during the winter of the Northern hemisphere, where large flocks can occur. This species was first described by Carl Linnaeus in his landmark 1758 10th edition of Systema Naturae. Like other small ducks such as the Eurasian teal, this species rises easily from the water with a fast twisting wader-like flight.",gargan,Garganey,bird_images\gargan.jpg,Anseriformes,Anatidae,Spatula,Least Concern
